,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
204,233,DST23,255.0,,New York Jets,DST,4,00-000012,131.2453334253033,DST,94.49366665760677,36.751666767696534,188.0
513,877,WR284,767.0,,Vyncint Smith,IND,6,00-0034631,53.46700043849647,WR,16.998800196647643,36.46820024184883,189.0
128,147,WR53,148.5,,Keke Coutee,NO,9,00-0034366,53.37284980297088,WR,16.998800196647643,36.37404960632324,190.0
193,219,DST19,235.4,,Tennessee Titans,DST,11,00-000011,129.0406667378346,DST,94.49366665760677,34.547000080227846,191.0
329,426,TE56,325.0,,Demetrius Harris,,,00-0030155,50.929750051125886,TE,16.59899981290102,34.330750238224866,192.0
383,542,K54,410.0,,Cairo Santos,CHI,6,00-0031203,33.01899995386601,K,0.0,33.01899995386601,193.0
331,429,WR138,633.0,,Jaron Brown,,,00-0030300,49.637333048631746,WR,16.998800196647643,32.6385328519841,194.0
388,548,TE79,430.0,,Charles Clay,,,00-0028112,49.23700017124415,TE,16.59899981290102,32.63800035834313,195.0
196,224,DST21,246.0,,Indianapolis Colts,DST,6,00-000013,127.02000004577636,DST,94.49366665760677,32.52633338816959,196.0
312,390,K39,283.0,,Mike Nugent,,,00-0023482,32.29199998132884,K,0.0,32.29199998132884,197.0
454,697,TE113,569.0,,Maxx Williams,,,00-0031558,48.41899960242212,TE,16.59899981290102,31.8199997895211,198.0
462,716,WR219,592.0,,Malik Turner,IND,6,00-0034867,47.77699978351593,WR,16.998800196647643,30.77819958686829,199.0
290,340,WR113,335.0,,Jake Kumerow,,,00-0031787,47.57800021290779,WR,16.998800196647643,30.579200016260145,200.0
244,282,QB33,446.3,,Ryan Fitzpatrick,,,00-0023682,252.72619748994708,QB,222.3416029421985,30.384594547748577,201.0
404,583,WR187,499.5,,Justin Watson,KC,12,00-0034386,47.16239970505238,WR,16.998800196647643,30.163599508404737,202.0
158,180,DST14,198.5,,Seattle Seahawks,DST,11,00-000014,124.23499992862344,DST,94.49366665760677,29.74133327101667,203.0
143,163,QB20,165.3,,Jimmy Garoppolo,LV,,00-0031345,251.43259838685393,QB,222.3416029421985,29.09099544465542,204.0
84,96,RB36,99.2,,LeSean McCoy,,,00-0027029,117.08060049071908,RB,88.13559999167919,28.945000499039892,205.0
90,104,RB39,108.0,,Matt Breida,NYG,11,00-0033308,116.87859991550445,RB,88.13559999167919,28.742999923825266,206.0
